Occu,Year,sGrassHt2019,sLichen2019,sReliefPlot,sRelief200L,sOIS,PreFlood,OIS,GrassHt2019,Lichen2019,ReliefPlotL,Relief200mL
0,2019,0.030201631,-0.035594087,0.641013629,0.641013629,-0.831139985,1,2,6.365,38,1.101940079,1.388791241
1,2019,0.068566908,0.812812928,-0.01229044,-0.01229044,6.232744871,1,69,6.485,58,0.009950331,0.009950331
0,2019,-1.031237695,-1.138523207,-0.01229044,-0.01229044,-0.725708868,1,3,3.045,12,0.009950331,0.009950331
0,2019,-0.081697093,-1.265784259,-0.01229044,-0.01229044,0.11774007,1,11,6.015,9,0.009950331,2.352327185
1,2019,-1.301393186,1.067335032,-0.01229044,-0.01229044,-1.042002219,1,0,2.2,64,0.009950331,0.698134722
1,2019,-0.970492673,-0.7143197,-0.01229044,-0.01229044,-0.303984399,1,7,3.235,22,0.009950331,0.412109651
1,2019,-0.36464101,1.533958891,-0.01229044,-0.01229044,-1.042002219,1,0,5.13,75,0.009950331,0.009950331
0,2019,-0.129653689,-1.647567416,-2.773375898,-2.773375898,-1.042002219,1,0,5.865,0,-4.605170186,-4.605170186
1,2019,-0.855396843,1.152175734,-0.01229044,-0.01229044,-1.042002219,1,0,3.595,66,0.009950331,0.009950331
1,2019,0.68880555,-0.671899349,1.329265038,1.329265038,1.172051243,1,21,8.425,23,2.252343877,3.637849283
1,2019,-0.257537945,0.600711174,-0.01229044,-0.01229044,-0.62027775,1,4,5.465,53,0.009950331,0.009950331
1,2019,0.306751335,0.303768719,1.054707759,1.054707759,-1.042002219,1,0,7.23,46,1.793424749,3.17847041
1,2019,0.588096698,0.218928017,-0.01229044,-0.01229044,-0.303984399,1,7,8.11,44,0.009950331,1.101940079
1,2019,0.367496357,0.727972226,-0.01229044,-0.01229044,1.910069064,1,28,7.42,56,0.009950331,0.698134722
0,2019,-0.538883309,-1.647567416,-0.01229044,-0.01229044,-1.042002219,1,0,4.585,0,0.009950331,0.412109651
0,2019,-0.105675391,-0.078014438,1.296953222,1.296953222,-0.62027775,1,4,5.94,37,2.198335072,3.17847041
1,2019,-0.407162525,0.261348368,-0.01229044,-0.01229044,-0.725708868,1,3,4.997,45,0.009950331,0.009950331
1,2019,-0.793692689,0.261348368,0.812627907,0.812627907,-0.514846633,1,5,3.788,45,1.388791241,1.793424749
0,2019,-1.229458292,-0.374956893,-0.01229044,-0.01229044,-0.62027775,1,4,2.425,30,0.009950331,0.009950331
0,2019,-0.003367986,0.049246614,-0.01229044,-0.01229044,1.27748236,1,22,6.26,40,0.009950331,0.009950331
1,2019,0.011338703,0.643131525,-0.01229044,-0.01229044,-0.409415516,1,6,6.306,54,0.009950331,0.009950331
0,2019,-0.713125608,1.406697838,0.095798913,0.095798913,-0.831139985,1,2,4.04,72,0.19062036,0.19062036
1,2019,2.015604708,0.38860942,-0.01229044,-0.01229044,2.120931298,1,30,12.575,48,0.009950331,0.009950331
0,2019,-0.231321673,1.237016435,-0.01229044,-0.01229044,-0.831139985,1,2,5.547,68,0.009950331,0.009950331
0,2019,-0.936923056,-1.647567416,-0.421084872,-0.421084872,-0.936571102,1,1,3.34,0,-0.673344553,1.611435915
0,2019,1.061268446,-1.350624961,0.399429234,0.399429234,0.11774007,1,11,9.59,7,0.698134722,0.698134722
0,2019,2.018801814,-0.671899349,-0.01229044,-0.01229044,4.545846995,1,53,12.585,23,0.009950331,2.862772146
0,2019,-1.016850716,-1.138523207,-0.01229044,-0.01229044,-1.042002219,1,0,3.09,12,0.009950331,0.009950331
1,2019,1.79180726,-0.799160401,1.389081994,1.389081994,3.386104705,1,42,11.875,20,2.352327185,3.737907685
1,2019,0.536942996,0.006826263,-0.01229044,-0.01229044,1.382913477,1,23,7.95,39,0.009950331,0.698134722
1,2019,-1.633892252,1.533958891,-0.01229044,-0.01229044,5.494727051,1,62,1.16,75,0.009950331,0.009950331
0,2019,-0.08009854,0.134087316,-0.01229044,-0.01229044,-0.093122164,1,9,6.02,42,0.009950331,0.009950331
0,2019,-0.923495209,-1.647567416,-0.01229044,-0.01229044,-1.042002219,1,0,3.382,0,0.009950331,0.009950331
1,2019,0.655235933,0.812812928,1.054707759,1.054707759,4.018691409,1,48,8.32,58,1.793424749,4.060615409
0,2019,-0.756286544,0.855233279,-0.01229044,-0.01229044,-0.936571102,1,1,3.905,59,0.009950331,0.009950331
0,2019,-0.817031566,-1.562726715,0.641013629,0.641013629,-1.042002219,1,0,3.715,2,1.101940079,1.947337701
0,2019,-0.471744074,-0.502217946,-0.01229044,-0.01229044,-0.936571102,1,1,4.795,27,0.009950331,0.009950331
0,2019,-0.500518032,-1.180943558,-0.01229044,-0.01229044,-1.042002219,1,0,4.705,11,0.009950331,0.009950331
0,2019,-1.061610206,-1.647567416,-2.773375898,-2.773375898,-0.198553281,1,8,2.95,0,-4.605170186,-4.605170186
1,2019,-1.463806192,-0.078014438,-0.01229044,-0.01229044,1.172051243,1,21,1.692,37,0.009950331,0.009950331
1,2019,0.512005566,0.727972226,-0.01229044,-0.01229044,-1.042002219,1,0,7.872,56,0.009950331,0.009950331
